	discharge_disposition 0
1.1	history_source 1
11	problem_list 2
13	assessment_and_plan 3
13.48	summary 4
13.49	assessment 53
13.51	plan 5
13.51.156.274	anesthesia_plan 5
13.51.156.275	wound_care_plan 5
13.51.156.276	prophylaxis_plan 5
13.51.156.278	disposition_plan 5
14.55	report_status 6
14.56.159	critical_care_time 54
15.6	technique 7
15.62	complications 8
16	description 9
18	addendum 10
19	report 11
2.3	general_history_and_physical 12
2.3.1	inpatient_history_and_physical 12
2.4	discharge_summary 13
2.7	procedure_note 14
22	author 15
25	comment 16
27	return_work 17
3	providers 18
3.10.7.4	surgeon 19
3.10.7.13	intern 19
3.10.7.14	resident 19
3.10.7.5	pediatrician 19
3.10.7.7	primary_physician 19
3.10.7.9	attending_physician 19
3.11.10.25	referring_physician 20
3.11.11	consultant 20
4.12	cpt_code 21
5.14.14	age 22
5.14.16	gender 22
5.14.20	phone_number 22
5.14.21	patient_name 22
5.14.22	mrn 22
5.14.24	para 22
5.14.26	room 22
5.14.27	unit 22
5.15	admission_date 23
5.15.31	service 23
5.16	date_time 24
5.16.35	date 24
5.16.35.34	date_of_birth 24
5.16.35.35	date_of_discharge 24
5.16.35.36	date_of_death 24
5.16.35.43	date_of_service 24
5.16.35.44	date_of_admission 24
5.16.35.47.9	estimated_due_date 24
5.16.35.49	date_dictated 24
5.16.35.50	date_transcribed 24
5.16.36	time 24
5.18	identifying_information 25
5.19	code_status 26
5.21	condition 27
5.21.38	discharge_condition 27
5.22	diagnoses 28
5.22.39	principle_diagnosis 28
5.22.40	secondary_diagnoses 28
5.22.41	diagnosis_at_death 28
5.22.44	admission_diagnosis 28
5.22.45	discharge_diagnosis 28
5.22.46	postprocedure_diagnosis 28
5.22.47	preprocedure_diagnosis 28
5.22.48	final_diagnosis 28
5.23	procedures 29
5.23.50	secondary_procedures 29
5.23.51	principal_procedures 29
5.23.52	surgical_procedures 29
5.24	diet 30
5.24.53	discharge_diet 30
5.26	chief_complaint 31
5.27	reason_for_consult 32
5.28	history_present_illness 33
5.28.57	subjective 33
5.28.59	brief_history 33
5.29	reason_for_study 35
5.30.64	cardiac_risk_factors 36
5.32	hospital_course 37
5.32.77	hospital_course_by_system 37
5.32.77.70	general_course 37
5.32.77.71	derm_course 37
